product_name,brands,nutriscore_grade,nova_group,allergens,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,category,subcategory
Coke Zero,Coca Cola,C,4,unknown,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.008,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Sable Coco Henry S G,Henrys,E,4,"gluten, milk",443.0,12.4,7.14,73.8,23.8,2.38,7.62,0.899,0.36,True,True,False,False,False,False,Snacks,Biscuits And Cakes
Beanz In A Rich Tomato Sauce,Heinz,B,4,unknown,81.0,0.337,0.0482,15.5,4.29,3.86,4.82,1.57,0.627,False,False,False,False,False,False,Plant Based Foods And Beverages,Fruits And Vegetables Based Foods
An Atlas Cl,An Atlas,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0096,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Nussmix,"Alesto, Alesto Selection",A,1,nuts,647.0,58.0,6.33,15.0,4.33,8.67,20.3,0.03,0.012,False,False,True,False,False,False,Plant Based Foods And Beverages,Nuts And Their Products
Hafer Milch,Alpro,B,4,"gluten, haferbasis",44.0,1.8,0.2,5.5,0.0,1.3,1.3,0.0875,0.035,True,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Barista Edition Oat Drink,Oatly,D,3,gluten,61.0,3.0,0.3,7.1,3.4,0.8,1.1,0.0975,0.039,True,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Lait Uht Entier,Dost,B,1,milk,58.0,3.0,0.0,4.8,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False,Dairies,Homogenized Milks
Margarine La Prairie G,La Prairie,C,4,soybeans,635.0,70.0,0.0,0.7,0.0,0.0,1.0,0.7,0.28,False,False,False,True,False,False,Plant Based Foods And Beverages,Fats
Tartine Croustillante Authentique,Wasa,A,3,"gluten, lupin, milk, soybeans",336.0,1.5,0.4,62.0,1.0,19.0,9.0,1.0,0.4,True,False,False,False,False,False,Plant Based Foods And Beverages,Snacks
Excellence Noir Intense Cacao,Lindt,E,3,"milk, soybeans",566.0,41.0,24.0,35.0,30.0,2.4,9.5,0.02,0.008,False,False,False,False,False,False,Fermented Foods,Sweet Snacks
Familia G,Familia,C,4,soybeans,532.0,60.0,21.0,0.2,0.0,5.0,0.2,0.0,0.0,False,False,False,True,False,False,Plant Based Foods And Beverages,Plant Based Foods
Star Vinaigre De Table Blanc,Star,NOT-APPLICABLE,2,unknown,1.0,0.0,0.0,0.15,0.15,0.7,0.0,0.0,0.0,False,False,False,False,False,False,Condiments,White Vinegars
Gervais,Gervais,C,0,milk,137.0,7.0,4.8,11.7,7.2,0.0,7.0,0.5,0.2,False,True,False,False,False,False,Dairies,Fermented Milk Products
Nocciolata,Rigoni Di Asiago,E,4,"milk, nuts, soybeans",544.0,32.0,5.7,54.0,51.0,3.6,8.1,0.12,0.048,False,True,True,True,False,False,Breakfasts,Sweet Spreads
Hazelnut And Cocoa Spread,Bonne Maman,E,4,"milk, nuts",551.0,34.0,5.2,53.0,51.0,3.3,6.7,0.1,0.04,False,True,True,False,False,False,Breakfasts,Sweet Spreads
Lightly Sea Salted Crisps,Tyrrells,C,3,unknown,476.0,27.0,2.4,49.0,0.64,5.5,6.2,0.83,0.332,False,False,False,False,False,False,Plant Based Foods And Beverages,Snacks
Weetabix,Weetabix,A,3,gluten,358.0,2.11,0.526,68.4,4.21,10.0,11.8,0.257,0.103,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Dark Chocolate,Green And Black,D,3,nuts,606.0,50.0,30.0,23.9,13.9,12.8,10.0,0.131,0.0522,False,False,False,False,False,False,Snacks,Cocoa And Its Products
Natural Mineral Water,Volvic,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0012,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Filets De Maquereau,Joly,A,3,fish,180.0,8.5,1.5,0.6,0.6,0.0,30.1,0.5,0.2,False,False,False,False,False,True,Seafood,Fishes
Excellence Noir Puissant Cacao,Lindt,E,3,nuts,584.0,46.0,27.0,22.0,15.0,0.0,12.5,0.02,0.008,False,False,False,False,False,False,Snacks,Cocoa And Its Products
Tartine Doux,Primrose,C,4,unknown,495.0,55.0,15.0,0.0,0.0,4.8,0.0,0.4,0.16,False,False,False,False,False,False,Plant Based Foods And Beverages,Fats
Sos,Sos,C,0,nuts,73.0,3.3,0.4,8.7,2.3,1.4,1.3,0.83,0.332,False,False,False,False,False,False,Condiments,Tomato Sauces
An Soltane,Sultan,A,0,unknown,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Dh,Dh,A,3,fish,180.0,6.4,1.5,0.6,0.16,0.0,30.1,0.5,0.2,False,False,False,False,False,True,Seafood,Fishes
Dark Chocolate Filled,Bjorg,D,4,"eggs, gluten, milk, soybeans",476.0,19.0,6.3,66.0,27.0,5.2,7.6,0.49,0.196,True,True,False,True,False,False,Snacks,Biscuits And Cakes
Confiture De Fraises G,El Baraka,D,4,unknown,256.0,0.5,0.1,63.0,62.0,0.5,0.5,0.02,0.008,False,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Extra Dark Cocoa,End Square,E,4,"milk, soybeans",571.0,42.0,26.0,32.0,26.0,4.1,9.9,0.02,0.008,False,False,False,True,False,False,Snacks,Cocoa And Its Products
Eau De Table,Ciel,A,0,unknown,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0025,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Star,Star,E,0,unknown,563.0,62.0,7.0,0.0,0.0,0.7,1.2,5.0,2.0,False,False,False,False,False,False,Condiments,Mayonnaises
Pure Peanut Butter,Organic Organic Garden,B,1,"nuts, peanuts, sesame-seeds",625.0,50.0,9.7,12.0,5.1,5.5,29.0,0.0,0.0,False,False,True,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Hawai Tropical,"Hawai,Coca Cola",E,0,unknown,41.0,0.0,0.0,10.0,9.5,4.0,0.0,0.026,0.0104,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Lait Entier Uht,Jaouda,C,1,milk,58.0,3.63,2.4,4.8,4.2,0.0,3.0,0.0,0.0,False,True,False,False,False,False,Dairies,Milks
Sojasauce,Kikkoman,E,3,"gluten, soybeans",77.0,0.0,0.0,3.2,0.6,0.0,10.0,16.9,6.76,True,False,False,True,False,False,Condiments,Soy Sauces
Skyr Nature,Yoplait,A,3,milk,57.0,0.105,0.065,3.6,3.6,0.0,9.5,0.1375,0.055,False,True,False,False,False,False,Dairies,Fermented Milk Products
Organic Lightly Salted Wholegrain Low Fat Rice Cakes,Kallo,B,3,rice,394.0,2.7,0.7,82.3,0.5,0.0,8.5,0.295,0.118,False,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Mayonnaise,Star,D,0,unknown,592.0,65.21,9.8,0.22,0.05,0.7,1.12,1.75,0.7,False,False,False,False,False,False,Condiments,Sauces
Green Tea,Green Tea,C,1,unknown,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0.1,0.04,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Pain De Mie Grandes Tranches Seigle Graines G,The Baker,A,4,"eggs, gluten, milk, soybeans",297.0,9.6,1.0,37.0,4.2,7.2,12.0,0.96,0.384,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Lio,Lio,UNKNOWN,0,unknown,900.0,100.0,14.0,0.0,0.0,0.0,0.0,0.46699999999999997,0.187,False,False,False,False,False,False,Plant Based Foods And Beverages,Fats
Nocciolata Bio,Rigoni Di Asiago,E,4,"milk, nuts, soybeans",544.0,32.0,5.7,54.0,51.0,3.6,8.1,0.12,0.048,False,True,True,True,False,False,Breakfasts,Sweet Spreads
Sourdough,Jasons,A,3,gluten,233.0,1.1,0.2,44.8,2.6,3.6,9.3,0.48125,0.1925,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Fibres,Wasa,A,3,"gluten, lupin, milk, sesame-seeds, soybeans",333.0,5.0,1.0,47.0,2.0,26.0,12.0,1.2,0.48,True,False,False,False,False,False,Plant Based Foods And Beverages,Snacks
Complete Krisprolls Without Added Sugars,Krisprolls,A,0,gluten,400.0,6.6,0.9,68.0,1.1,8.3,13.0,1.1,0.44,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Maxi Complete Slices Without Added Sugars,Jacquet,B,4,"gluten, nuts",243.0,3.0,0.3,42.0,3.8,6.6,8.7,1.2,0.48,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Henrys,Henrys,E,4,gluten,440.0,10.8,5.29,76.5,24.2,2.35,7.65,0.882,0.353,True,False,False,False,False,False,Snacks,Biscuits And Cakes
Confiture Dabricot,Delicia,D,3,unknown,272.0,0.0,0.0,67.36,50.0,4.8,0.41,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Pesto Alla Genovese,Barilla,E,4,"eggs, milk, nuts",492.0,47.0,5.3,11.0,5.0,3.0,4.7,3.2,1.28,False,True,True,False,False,False,Condiments,Pasta Sauces
"Alpro Mandeldrink, Original L",Alpro,C,4,nuts,22.0,1.1,0.1,2.4,2.4,0.4,0.4,0.14,0.056,False,False,True,False,False,False,Beverages And Beverages Preparations,Beverages
Cruelly Mixed Nuts,Quaker,B,4,"avoine, gluten, nuts",462.0,19.0,2.0,57.0,12.0,10.0,8.5,0.0,0.0,True,False,True,False,False,False,Plant Based Foods And Beverages,Breakfasts
Momo Black,Excelo,E,4,"gluten, milk, soybeans",497.0,21.0,9.9,70.0,27.0,4.1,7.0,0.32,0.128,True,True,False,True,False,False,Snacks,Biscuits And Cakes
Poulain,Poulain,E,4,"milk, nuts, soybeans",522.0,28.0,5.1,60.0,59.0,3.5,5.4,0.1,0.04,False,True,True,True,False,False,Breakfasts,Sweet Spreads
Star,Star,E,0,gluten,385.56,33.0,2.57,20.9,16.0,0.7,1.31,2.2,0.88,False,False,False,False,False,False,Condiments,Algerian Style Sauces
Tomato Ketchup,Heinz,C,3,celery,100.0,0.0,0.4,23.3,22.7,0.7,1.33,0.988,0.395,False,False,False,False,False,False,Condiments,Tomato Sauces
