AllergenTypeID,allergens
214,"celery, eggs, fish, gluten, milk, molluscs, mustard, nuts, peanuts, sesame-seeds, soybeans"
215,"eggs, gluten, nuts, soybeans"
216,"milk, peach"
217,"alcool, anhydride-sulfureux-et-sulfites, gluten"
218,"avena, gluten, sesame-seeds, soybeans, trigo-espelta"
219,"lupin, soybeans"
220,"eggs, gluten, milk, mustard, nuts"
221,acesulfame-potassium
222,"eggs, gluten, mustard"
223,"fish, gluten, mustard"
224,avoine-ou-hybrides-et-produits-a-base-de-ces-cereales
225,"avena, gluten, nuts, soybeans, sulphur-dioxide-and-sulphites"
226,"celery, cereals-with-gluten, crustaceans, eggs, fish, gluten, milk, mustard, soybeans"
227,"fish, gluten, milk, soybeans"
228,"gluten, milk, nuts, peanuts, soybeans, sulphites, sulphur-dioxide-and-sulphites"
229,"celery, eggs, gluten, milk, soybeans"
230,"gluten, mustard, sesame-seeds, soybeans"
231,"apple, banana, kiwi"
232,"celery, crustaceans, fish, gluten, sesame-seeds, soybeans"
233,"celery, eggs, gluten"
234,"avoine, gluten, lupin, milk, mustard, nuts, peanuts, sesame-seeds, soybeans"
235,"lupin, nuts"
236,"celery, eggs, gluten, milk, mustard, soybeans"
237,"eggs, mustard, soybeans, sulphur-dioxide-and-sulphites"
238,crustaceans
239,"beef, pork"
240,gelatin
241,"gluten, milk, nuts, sesame-seeds, soybeans"
242,"eggs, gluten, milk, nuts, peanuts, soybeans, sulphites, sulphur-dioxide-and-sulphites"
243,"crustaceans, eggs, fish, gluten, milk, molluscs, soybeans"
244,"gluten, lupin, milk, nuts, soybeans"
245,"celery, gluten, milk, soybeans"
246,"eggs, fish, milk"
247,"apple, gluten, nuts, sulphur-dioxide-and-sulphites"
248,"celery, sesame-seeds, soybeans"
249,"eggs, fish, gluten, milk"
250,"celery, gluten, milk, mustard, soybeans"
251,"eggs, fish, gluten, milk, soybeans"
252,"gluten, milk, sesame-seeds, soybeans, trigo-espelta"
253,"mandeln, nuts"
254,"avena, gluten, milk, nuts, soybeans"
255,"gluten, soybeans, sulphites"
256,"eggs, milk, mustard, nuts, sulphites, sulphur-dioxide-and-sulphites"
257,"eggs, gluten, milk, sulphites, sulphur-dioxide-and-sulphites"
258,"celery, milk, soybeans"
259,"crustaceans, fish, gluten, molluscs"
260,"fish, milk, nuts"
261,"celery, chicken, milk"
262,"beef, milk, pork"
263,"kiwi, orange"
264,abricots
265,"crustaceans, eggs, fish, gluten"
266,"gluten, milk, molkeneiweisisolat, molkeneweißkonzentrat, soybeans"
267,"gluten, hühnerei-trockeneiweiss, milk, nuts, peanuts, soybeans"
268,"milk, mustard, nuts"
269,"et-produits-a-base-de-ces-cereales, gluten"
270,"eggs, milk, nuts, peanuts"
271,"gluten, milk, mustard, sesame-seeds, soybeans, sulphites, sulphur-dioxide-and-sulphites"
272,"gluten, milk, molluscs"
273,"gluten, sojasaucenpulver, soybeans"
274,phenylalanine
275,"avena, gluten, milk, soybeans"
276,"gluten, mustard, nuts, sesame-seeds, soybeans"
277,"apple, milk, nuts, soybeans"
278,"celery, gluten, milk"
279,"alaska-seeiachsfiiet, fish, gluten"
280,"amandes-amygdalus-communis-l, avoine-ou-hybrides-et-produits-a-base-de-ces-cereales, gluten, noisettes-corylus-avellana, noix-de-pecan-et-produits-a-base-de-noix-de-pecan-carya-illinoiesis-wangenh-k-koch, noix-du-bresil-et-produits-a-base-de-noix-du-bresil-bertholletia-excelsa, nuts"
281,"amandes-amygdalus-communis-l, avoine-ou-hybrides-et-produits-a-base-de-ces-cereales, et-produits-a-base-de-ces-cereales, gluten, milk, noisettes-corylus-avellana, nuts"
282,sarrasin
283,e150d
284,"apple, gelatin"
285,"blé, gluten"
286,"nusskernmischung, nuts"
287,"eggs, gluten, lait, milk, soybeans, œufs"
288,"mustard, nuts"
289,"gluten, milk, nuts, sesame-seeds"
290,"gluten, nuts, orange"
291,"avena, gluten, milk"
292,"abricot, citron, orange"
293,"celery, eggs, gluten, milk, mustard, sesame-seeds, soybeans"
294,"celery, crustaceans, eggs, fish, gluten, milk, molluscs, mustard, soybeans"
