FoodID,food_name
354,babyfood gerber banana with orange medley
355,babyfood gerber graduates lil biscuits vanilla wheat
356,babyfood grape juice no sugar canned
357,babyfood green beans and turkey strained
358,babyfood green beans dices toddler
359,babyfood juice treats fruit medley toddler
360,babyfood juice apple
361,babyfood juice apple cherry
362,babyfood juice apple and grape
363,babyfood juice apple and peach
364,babyfood juice apple and prune
365,babyfood juice apple with calcium
366,babyfood juice apple sweet potato
367,babyfood juice fruit punch with calcium
368,babyfood juice mixed fruit
369,babyfood juice orange
370,babyfood juice orange and apple
371,babyfood juice orange and apple and banana
372,babyfood juice orange and apricot
373,babyfood juice orange and banana
374,babyfood juice orange and pineapple
375,babyfood juice orange carrot
376,babyfood juice pear
377,babyfood juice prune and orange
378,babyfood macaroni and cheese toddler
379,babyfood mashed cheddar potatoes and broccoli toddlers
380,babyfood meat beef with vegetables toddler
381,babyfood meat beef junior
382,babyfood meat beef strained
383,babyfood meat chicken sticks junior
384,babyfood meat chicken junior
385,babyfood meat chicken strained
386,babyfood meat ham junior
387,babyfood meat ham strained
388,babyfood meat lamb junior
389,babyfood meat lamb strained
390,babyfood meat meat sticks junior
391,babyfood meat pork strained
392,babyfood meat turkey sticks junior
393,babyfood meat turkey junior
394,babyfood meat turkey strained
395,babyfood meat veal strained
396,babyfood mixed fruit juice with low fat yogurt
397,babyfood mixed fruit yogurt strained
398,babyfood multigrain whole grain cereal dry fortified
399,babyfood oatmeal cereal with fruit dry instant toddler fortified
400,babyfood peaches dices toddler
401,babyfood pears dices toddler
402,babyfood peas and brown rice
403,babyfood peas dices toddler
404,babyfood plums bananas and rice strained
405,babyfood potatoes toddler
406,babyfood pretzels
407,babyfood prunes without vitamin c strained
408,babyfood ravioli cheese filled with tomato sauce
409,babyfood rice and apples dry
410,babyfood rice cereal dry earths best organic whole grain fortified only with iron
411,babyfood snack gerber graduate fruit strips real fruit bars
412,babyfood snack gerber graduates lil crunchies baked whole grain corn snack
413,babyfood snack gerber graduates yogurt melts
414,babyfood tropical fruit medley
415,babyfood vegetable and brown rice strained
416,babyfood vegetable butternut squash and corn
417,babyfood vegetable green beans and potatoes
418,babyfood vegetables beets strained
419,babyfood vegetables carrots junior
420,babyfood vegetables carrots strained
421,babyfood vegetables corn creamed junior
422,babyfood vegetables corn creamed strained
423,babyfood vegetables garden vegetable strained
424,babyfood vegetables green beans junior
425,babyfood vegetables green beans strained
426,babyfood vegetables mix vegetables junior
427,babyfood vegetables mix vegetables strained
428,babyfood vegetables peas strained
429,babyfood vegetables spinach creamed strained
430,babyfood vegetables squash junior
431,babyfood vegetables squash strained
432,babyfood vegetables sweet potatoes strained
433,babyfood vegetables sweet potatoes junior
434,babyfood water bottled gerber without added fluoride
435,babyfood yogurt whole milk with fruit multigrain cereal and added dha fortified
436,babyfood yogurt whole milk with fruit multigrain cereal and added iron fortified
437,bacon and beef sticks
438,bacon bits meatless
439,bacon meatless
440,bacon pre sliced reduced low sodium unprepared
441,bacon turkey low sodium
442,bacon turkey microwaved
443,bacon turkey unprepared
444,bagels cinnamon raisin
445,bagels cinnamon raisin toasted
446,bagels egg
447,bagels multigrain
448,bagels oat bran
449,bagels plain enriched with calcium propionate includes onion poppy sesame
450,bagels plain enriched with calcium propionate includes onion poppy sesame toasted
451,bagels plain enriched without calcium propionate includes onion poppy sesame
452,bagels plain unenriched with calcium propionate includes onion poppy sesame
453,bagels plain unenriched without calcium propionate includes onion poppy sesame
454,bagels wheat
455,bagels whole grain white
456,baking chocolate mars snackfood us mms milk chocolate mini baking bits
457,baking chocolate mars snackfood us mms semisweet chocolate mini baking bits
458,baking chocolate mexican squares
459,baking chocolate unsweetened liquid
460,baking chocolate unsweetened squares
461,balsam pear bitter gourd leafy tips cooked boiled drained with salt
462,balsam pear bitter gourd leafy tips cooked boiled drained without salt
463,balsam pear bitter gourd leafy tips raw
464,balsam pear bitter gourd pods cooked boiled drained with salt
465,balsam pear bitter gourd pods cooked boiled drained without salt
466,balsam pear bitter gourd pods raw
467,bamboo shoots canned drained solids
468,bamboo shoots cooked boiled drained with salt
469,bamboo shoots cooked boiled drained without salt
470,bamboo shoots raw
471,bananas dehydrated or banana powder
472,bananas overripe raw
473,bananas raw
474,bananas ripe and slightly ripe raw
475,banquet salisbury steak with gravy family size frozen unprepared
476,baobab powder
477,barbecue loaf pork beef
478,barley flour or meal
479,barley malt flour
480,barley hulled
481,barley pearled cooked
482,barley pearled raw
483,basil fresh
